txn_id,account_id,counterparty_id,txn_date,amount,currency,channel,counterparty_country,country_risk,structuring_pattern,txn_count_24h,cumulative_24h_amount,pep_flag,sanctions_hit,outcome,flag_reason
TXN-029,ACC-030,CP-128,2024-02-15,38000,USD,wire,US,low,no,1,38000,no,yes,report,sanctions_hit
TXN-030,ACC-031,CP-129,2024-02-15,2950,USD,retail,US,low,yes,5,14750,no,no,review,structuring_pattern
TXN-031,ACC-032,CP-130,2024-02-16,260,EUR,card,IT,low,no,1,260,no,no,clear,
TXN-032,ACC-033,CP-131,2024-02-16,29000,USD,wire,IR,high,no,1,29000,no,no,review,high_risk_jurisdiction
TXN-033,ACC-034,CP-132,2024-02-17,82000,USD,wire,US,low,no,1,82000,yes,no,review,pep_involved
TXN-034,ACC-035,CP-133,2024-02-17,400,USD,card,US,low,no,1,400,no,no,clear,
TXN-035,ACC-036,CP-134,2024-02-18,47000,USD,wire,US,low,no,1,47000,no,yes,report,sanctions_hit
TXN-036,ACC-037,CP-135,2024-02-18,2600,USD,retail,US,low,yes,6,15600,no,no,review,structuring_pattern
TXN-037,ACC-038,CP-136,2024-02-19,180,GBP,card,GB,low,no,1,180,no,no,clear,
TXN-038,ACC-039,CP-137,2024-02-19,24000,USD,wire,SD,high,no,1,24000,no,no,review,high_risk_jurisdiction
TXN-039,ACC-040,CP-138,2024-02-20,98000,USD,wire,FR,low,no,1,98000,yes,no,review,pep_involved
TXN-040,ACC-041,CP-139,2024-02-20,720,EUR,retail,NL,low,no,1,720,no,no,clear,
TXN-041,ACC-042,CP-140,2024-02-21,51000,USD,wire,US,low,no,1,51000,no,yes,report,sanctions_hit
TXN-042,ACC-043,CP-141,2024-02-21,2850,USD,retail,US,low,yes,4,11400,no,no,review,structuring_pattern
TXN-043,ACC-044,CP-142,2024-02-22,130,USD,card,US,low,no,1,130,no,no,clear,
TXN-044,ACC-045,CP-143,2024-02-22,33000,USD,wire,KP,high,no,1,33000,no,no,review,high_risk_jurisdiction
TXN-045,ACC-046,CP-144,2024-02-23,87000,USD,wire,US,low,no,1,87000,yes,no,review,pep_involved
TXN-046,ACC-047,CP-145,2024-02-23,560,GBP,retail,GB,low,no,1,560,no,no,clear,
TXN-047,ACC-048,CP-146,2024-02-24,44000,USD,wire,US,low,no,1,44000,no,yes,report,sanctions_hit
TXN-048,ACC-049,CP-147,2024-02-24,2750,USD,retail,US,low,yes,5,13750,no,no,review,structuring_pattern
TXN-049,ACC-050,CP-148,2024-02-25,90,USD,card,US,low,no,1,90,no,no,clear,
TXN-050,ACC-051,CP-149,2024-02-25,26000,USD,wire,AF,high,no,1,26000,no,no,review,high_risk_jurisdiction
